Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290620,2906204,Canarana,2,2010,1903,1854,24067,7703.5,7703.5,19.01 ,18.2 ,29.95,6.9,52,4,11,9,3,30.4,35.67566818,559.0636139,0.393872481,0.047278315
BA-2010,29,BA,NE,290630,2906303,Canavieiras,4,2010,1904,34,32336,105.1,105.1,19.62 ,15.0 ,31.96,8.0,20,5,24,21,3,19.8,28.17421433,1587.528994,0.735531746,0.586932087
BA-2010,29,BA,NE,290640,2906402,Candeal,2,2010,1905,53,8895,595.8,595.8,25.73 ,50.0 ,20.81,21.4,61,1,7,3,2,21.2,33.99020514,613.2925257,0.597929573,0.357897135
BA-2010,29,BA,NE,290650,2906501,Candeias,4,2010,1906,15,83158,18.0,18.0,9.09 ,2.2 ,27.8,1.0,9,4,60,126,3,15.8,31.43773112,1825.985443,0.649645247,0.483188234
BA-2010,29,BA,NE,290660,2906600,Candiba,2,2010,1907,18,13210,136.3,136.3,25.56 ,27.5 ,36.66,11.5,42,4,4,10,1,28.8,34.81437341,711.637726,0.448018287,0.188500764
BA-2010,29,BA,NE,290670,2906709,Cândido Sales,4,2010,1908,14,27918,50.1,50.1,26.08 ,27.3 ,51.24,11.9,31,9,12,11,1,19.4,30.23576325,726.8334024,0.594021618,0.337564904
BA-2010,29,BA,NE,290680,2906808,Cansanção,2,2010,1909,59,32908,179.3,179.3,28.93 ,33.0 ,42.7,20.4,67,4,15,14,10,28.4,34.83904468,577.9538394,0.568203135,0.302355556
BA-2010,29,BA,NE,290682,2906824,Canudos,2,2010,1910,5,15732,31.8,31.8,25.24 ,31.6 ,32.99,13.6,45,5,7,12,0,36,33.17087072,642.9964468,0.560375356,0.282027876
BA-2010,29,BA,NE,290685,2906857,Capela do Alto Alegre,2,2010,1911,4,11527,34.7,34.7,27.98 ,18.7 ,27.02,8.4,52,3,10,7,2,23.8,36.2840961,592.810244,0.521499077,0.238749551
BA-2010,29,BA,NE,290687,2906873,Capim Grosso,2,2010,1912,64,26577,240.8,240.8,20.78 ,6.2 ,34.21,3.3,18,7,17,15,2,27.1,36.1402934,569.6613198,0.495415166,0.226099028
BA-2010,29,BA,NE,290689,2906899,Caraíbas,2,2010,1913,1,10222,9.8,9.8,32.87 ,66.5 ,35.07,28.8,75,5,7,2,0,29.4,32.78473217,620.4653231,0.46817481,0.151846253
